ID;first_name;last_name;personal_email;birthdate;phone;employee_type;department;maritalstatus;nationality;county;postcode;state;end_contract_date;Identification_number
1;Danial;Fromal;bodyworkprocessionals@Doricmotleyerturmoils.edu;02/07/1977;331-241-7014;Manager;Human Resources;Separated;Turkey;Harris;59982;Pennsylvania;30/07/2024;5556582242
2;Freddie;Larribas;mummificationshymen@transcendentalists.info;23/04/1970;860-623-4490;Manager;Human Resources;Widowed;Malta;Bullock;11114;Wisconsin;14/10/2024;3821547186
3;Jody;Franecki;sittershailinghales@IsraelitesHuygens.com;20/03/1980;335-730-7993;Employee;Human Resources;Separated;Jordan;Powder River;33555;Pennsylvania;12/11/2024;4068136174
4;Mario;Schmittel;treasureFischers@twistsvizorIrtish.net;29/03/1974;808-337-6888;Employee;Human Resources;Married;Malawi;Brunswick;57014;Virginia;31/10/2024;577373900
5;Russ;Cantone;Hayhayedamphetamines@Afrikanerploughshare.com;09/10/1975;267-317-7106;Employee;Human Resources;Widowed;Baker Island;Madison;34187;Illinois;04/10/2024;7387390146
6;Cecil;Pullo;chompedacidulousresolved@announcementsromper.me;29/05/1974;185-142-9075;Manager;Production Line;Separated;Serbia;Walker;20662;Puerto Rico;13/07/2024;7306959607
7;Harold;Pelowski;Galahadprimps@proclamations.org;02/01/1984;834-151-7345;Manager;Production Line;Single;Cote d'Ivoire;Lac Qui Parle;76809;District of Columbia;05/06/2022;6716416553
8;Elvis;Sostak;coronersEisenhowers@goofySchenectady.org;24/07/1985;557-120-4649;Manager;Production Line;Separated;Saint Pierre and Miquelon;Cooke;11040;New Hampshire;08/05/2024;6626383907
9;Mason;Mchayle;pittedpHbarrows@brownoutsbelladonna.me;12/01/1968;897-715-3919;Employee;Production Line;Divorced;Honduras;Bowie;43078;California;27/07/2024;8961009634
10;Tommie;Sokol;shelterspancakes@rejoindersrioters.net;10/03/1971;411-891-3797;Employee;Production Line;Separated;Kazakhstan;Marshall;64738;California;28/07/2024;6297513354
11;Lauren;Mondi;deductquittingPepsi@tediouslyjamming.gov;28/08/1967;363-419-1632;Employee;Production Line;Married;Azerbaijan;Schoolcraft;47282;Virginia;19/05/2024;5328831645
12;Lamar;Fiore;smugglerexpunged@coynesssBens.edu;23/03/1983;406-324-2482;Employee;Production Line;Separated;Virgin Islands;Apache;61412;California;05/03/2024;84135979
13;Burton;Domeyer;inductivethickenedinvestigator@cremationMachiavellian.info;08/09/1966;528-174-9722;Employee;Production Line;Separated;Europa Island;Allegan;45981;New York;12/02/2024;206754955
14;Marshall;Anzaldo;seminarssteadying@crierflyersmumblersobtains.gov;19/11/1983;609-717-3352;Employee;Production Line;Separated;Nepal;Matagorda;58695;Oklahoma;26/04/2024;8334061626
15;Duane;Mcneer;quicknessradioactivitys@portmanteauxclack.com;27/11/1973;681-568-1953;Employee;Production Line;Single;Indonesia;Conejos;54709;Rhode Island;20/06/2024;7992405101
16;Claude;Cornutt;Turkishbreezily@surreylugubriously.gov;05/09/1963;889-008-7057;Employee;Production Line;Divorced;Azerbaijan;Staunton;89714;North Dakota;13/04/2024;3372957435
17;Gilbert;Staszak;DelawareansElsa@dehumidify.net;25/12/1980;758-135-8080;Employee;Production Line;Single;Paraguay;Hot Springs;78218;Illinois;10/08/2024;9205831821
18;Eldon;Leazott;clothsanchorsidestepping@Chagallsgrufferunderstatements.edu;01/03/1976;491-333-4216;Employee;Production Line;Single;Maldives;Cameron;65203;Illinois;25/06/2024;7507682737
19;Tony;Horry;Collinsdegreepeon@octagons.edu;09/10/1988;186-734-4528;Employee;Production Line;Divorced;Marshall Islands;Archuleta;35961;South Dakota;02/10/2022;5082779339
20;German;Herevia;partitionssoured@sweatierlollygagged.com;27/01/1968;395-693-9222;Employee;Production Line;Widowed;Guinea-Bissau;Comal;43636;Oklahoma;20/01/2024;743553422
21;Sung;Millering;Earnhardtsdrool@midtowns.me;16/04/1988;689-321-7842;Employee;Production Line;Single;Japan;Lemhi;72942;New Hampshire;26/06/2024;1519415526
22;Blake;Vanderwal;economists@paranoiasdecanterGrotius.gov;21/03/1972;547-473-6175;Employee;Production Line;Single;Brazil;Blackhawk;47043;Michigan;20/02/2024;9977840562
23;Denny;Jezik;sacramentsItalians@gobblingclassical.net;21/10/1974;507-891-1048;Employee;Production Line;Married;South Korea;Forest;48550;South Dakota;13/04/2024;3371097902
24;Nathanial;Pashley;cheapskateswatermelons@dimplesinscriptions.me;07/11/1962;425-868-4752;Employee;Production Line;Married;Brazil;Choctaw;16703;American Samoa;19/01/2024;7431363467
25;Ignacio;Pittaway;docsarbiterLippis@jestedlawfullyinconsiderateness.com;24/05/1967;386-516-2329;Employee;Production Line;Separated;Kenya;Gonzales;18621;Hawaii;16/05/2024;7087412465
26;Michal;Califand;sleeveSocratesannoyance@Bathshebas.info;23/06/1982;520-994-4865;Employee;Production Line;Separated;Mali;Blount;28762;Arkansas;02/06/2024;3945974555
27;Coy;Baquerizo;bottlenecksinnermost@abeamMarkscrowning.gov;14/12/1989;847-501-0649;Employee;Production Line;Separated;San Marino;Hall;42890;Wyoming;30/07/2024;6835674867
